Category,Twitter Account,Full Name,Description
🏆 Sport Teams,@Springboks,Springboks,South African Rugby
🏆 Sport Teams,@Globies,Harlem Globetrotters,Exhibition basketball
🏆 Sport Teams,@weareangelcity,Angel City FC,Women's soccer/Celebrity owned
🏆 Sport Teams,@MercedesAMGF1,Mercedes-AMG PETRONAS F1,Formula 1
🏆 Sport Teams,@dallascowboys,Dallas Cowboys,NFL Mainstream
🏆 Sport Teams,@AFCAjax,AFC Ajax,Dutch soccer/Youth development
🏆 Sport Teams,@USParalympics,U.S. Paralympics,US Paralympic teams
🏆 Sport Teams,@Cubs,Chicago Cubs,Baseball/Historic loyalty
🏆 Sport Teams,@warriors,Golden State Warriors,NBA Modern dynasty
🏆 Sport Teams,@ManUtd,Manchester United,English Premier League
🏆 Sport Teams,@TeamUSA,Team USA,Olympic sports
🏆 Sport Teams,@TheSavBananas,Savannah Bananas,Exhibition baseball/Viral
😂 Comedians,@aliwong,Ali Wong,Stand-up/Maternal & cultural humor
😂 Comedians,@Trevornoah,Trevor Noah,Global perspective/Political satire
😂 Comedians,@Hannahgadsby,Hannah Gadsby,Deconstructive/Alternative comedy
😂 Comedians,@boburnham,Bo Burnham,Musical comedy/Existentialism
😂 Comedians,@TigNotaro,Tig Notaro,Deadpan/Dark humor
😂 Comedians,@ericandre,Eric Andre,Absurdist/Surreal comedy
😂 Comedians,@hasanminhaj,Hasan Minhaj,Political/Asian-American experience
😂 Comedians,@JimGaffigan,Jim Gaffigan,Clean/Family humor
😂 Comedians,@rickygervais,Ricky Gervais,British/Cynical humor
😂 Comedians,@quintabrunson,Quinta Brunson,Internet to TV comedy
😂 Comedians,@marcmaron,Marc Maron,Comedy interviewing/Neuroticism
😂 Comedians,@iliza,Iliza Shlesinger,Millennial women humor
😂 Comedians,@JimCarrey,Jim Carrey,Slapstick/Existential art
😂 Comedians,@SarahKSilverman,Sarah Silverman,Provocative/Political
😂 Comedians,@DaveChappelle,Dave Chappelle,Stand-up legend/Social commentary
😂 Comedians,@fluffyguy,Gabriel Iglesias,Multicultural/Storytelling
😂 Comedians,@mindykaling,Mindy Kaling,Rom-com/Sitcom humor
😂 Comedians,@ConanOBrien,Conan O'Brien,Late night/Self-deprecating
📺 TV Shows,@Stranger_Things,Stranger Things,Sci-fi/80s Nostalgia
📺 TV Shows,@succession,Succession,Prestige drama/Dark comedy
📺 TV Shows,@RuPaulsDragRace,RuPaul's Drag Race,Reality/LGBTQ+ culture
📺 TV Shows,@Jeopardy,Jeopardy!,Trivia/Intellectual
📺 TV Shows,@TheSimpsons,The Simpsons,Classic animated satire
📺 TV Shows,@sesamestreet,Sesame Street,Children's education/Wholesome
📺 TV Shows,@DoctorWho_BBCA,Doctor Who,British sci-fi/Cult following
📺 TV Shows,@blackmirror,Black Mirror,Dystopian sci-fi
📺 TV Shows,@GameOfThrones,Game of Thrones,Epic fantasy
📺 TV Shows,@RickandMorty,Rick and Morty,Nihilistic animation
📺 TV Shows,@AbbottElemABC,Abbott Elementary,Mockumentary/Heartwarming
📺 TV Shows,@TheCrownNetflix,The Crown,Historical drama
📺 TV Shows,@BetterCallSaul,Better Call Saul,Character study/Crime drama
📺 TV Shows,@BBCEarth,BBC Earth,Nature documentary series
📺 TV Shows,@LoveIsland,Love Island,Guilty pleasure/Reality dating
📺 TV Shows,@AtlantaFX,Atlanta,Surrealism/Black culture
📺 TV Shows,@SchittsCreek,Schitt's Creek,Feel-good comedy
📺 TV Shows,@euphoriaHBO,euphoria,Teen drama/Aesthetic-driven
📺 TV Shows,@bridgerton,Bridgerton,Romance/Alternate history
🗳️ Politics,@AOC,Alexandria Ocasio-Cortez,Progressive/Youth politics
🗳️ Politics,@DalaiLama,Dalai Lama,Geopolitics/Spiritual leadership
🗳️ Politics,@JustinTrudeau,Justin Trudeau,Canadian PM/Liberal internationalism
🗳️ Politics,@EmmanuelMacron,Emmanuel Macron,European centrism
🗳️ Politics,@BernieSanders,Bernie Sanders,Democratic socialism
🗳️ Politics,@MittRomney,Mitt Romney,Traditional/Moderate conservatism
🗳️ Politics,@IlhanMN,Ilhan Omar,Progressive/Immigrant perspective
🗳️ Politics,@Schwarzenegger,Arnold Schwarzenegger,Bipartisan/Climate
🗳️ Politics,@UN,United Nations,Global diplomacy
🗳️ Politics,@wef,World Economic Forum,Globalist/Economic policy
🗳️ Politics,@freedomhouse,Freedom House,Democracy advocacy
🗳️ Politics,@staceyabrams,Stacey Abrams,Voting rights activism
🗳️ Politics,@Nigel_Farage,Nigel Farage,Populism/Brexit
🗳️ Politics,@TulsiGabbard,Tulsi Gabbard,Anti-interventionist/Independent
🗳️ Politics,@BenSasse,Ben Sasse,Conservative academic
🗳️ Politics,@andrewyang,Andrew Yang,UBI/Technocratic politics
🗳️ Politics,@jacindaardern,Jacinda Ardern,Empathetic leadership/New Zealand
🗳️ Politics,@ChrisMurphyCT,Chris Murphy,Foreign policy/Gun control
🗳️ Politics,@NikkiHaley,Nikki Haley,Conservative foreign policy
🗳️ Politics,@CoriBush,Cori Bush,Activist-turned-politician
🎭 Actors,@violadavis,Viola Davis,Prestige drama/EGOT winner
🎭 Actors,@VancityReynolds,Ryan Reynolds,Comedy/Action
🎭 Actors,@PedroPascal1,Pedro Pascal,Sci-fi/Pop culture icon
🎭 Actors,@Zendaya,Zendaya,Gen-Z icon/Fashion & Drama
🎭 Actors,@LeoDiCaprio,Leonardo DiCaprio,A-List/Environmentalism
🎭 Actors,@SirPatStew,Patrick Stewart,Shakespearean/Sci-Fi
🎭 Actors,@mindykaling,Mindy Kaling,Writer/Actor/Comedy
🎭 Actors,@IanMcKellen,Ian McKellen,Theater legend/LGBTQ+ advocate
🎭 Actors,@GaelGarciaB,Gael García Bernal,Latin American cinema
🎭 Actors,@Lupita_Nyongo,Lupita Nyong'o,Oscar winner/Author
🎭 Actors,@MarkRuffalo,Mark Ruffalo,Actor/Political activist
🎭 Actors,@SamuelLJackson,Samuel L. Jackson,Prolific Hollywood veteran
🎭 Actors,@Florence_Pugh,Florence Pugh,Indie to blockbuster darling
🎭 Actors,@DonCheadle,Don Cheadle,Character actor/Social justice
🎭 Actors,@kumailn,Kumail Nanjiani,Comedy to Marvel
🎭 Actors,@ReeseW,Reese Witherspoon,Actor/Producer/Books
🎭 Actors,@AnthonyHopkins,Anthony Hopkins,Classic acting/Wholesome presence
🎭 Actors,@TheRock,Dwayne Johnson,Action/Fitness/Motivation
🎭 Actors,@TaikaWaititi,Taika Waititi,Actor/Director/Comedy
🎤 Singers,@rosalia,ROSALÍA,Flamenco/Global pop
🎤 Singers,@billieeilish,Billie Eilish,Alt-pop/Gen-Z angst
🎤 Singers,@kendricklamar,Kendrick Lamar,Conscious Hip-Hop/Pulitzer winner
🎤 Singers,@DollyParton,Dolly Parton,Country legend/Philanthropist
🎤 Singers,@AndreaBocelli,Andrea Bocelli,Classical/Opera
🎤 Singers,@SnoopDogg,Snoop Dogg,West Coast Rap/Pop culture figure
🎤 Singers,@fatbellybella,Erykah Badu,Neo-soul/Spiritual
🎤 Singers,@lizzo,Lizzo,Body positivity/Pop-funk
🎤 Singers,@theweeknd,The Weeknd,Dark R&B
🎤 Singers,@Adele,Adele,Soul/Vocal powerhouse
🎤 Singers,@sanbenito,Bad Bunny,Reggaeton/Latin trap
🎤 Singers,@eltonofficial,Elton John,Glam rock/Pop legend
🎤 Singers,@JanelleMonae,Janelle Monáe,Afrofuturism/R&B
🎤 Singers,@celinedion,Celine Dion,Power ballads/Vocalist
🎤 Singers,@FKAtwigs,FKA twigs,Avant-garde pop/Art
🎤 Singers,@nickcave,Nick Cave,Gothic/Alternative rock
🎤 Singers,@solangeknowles,Solange Knowles,Alternative R&B/Art pop
🎤 Singers,@OzzyOsbourne,Ozzy Osbourne,Heavy metal vocalist
🎤 Singers,@ladygaga,Lady Gaga,Pop/Jazz/Theatrical
🗞️ News,@FoxNews,Fox News,US Conservative News Network
🗞️ News,@MSNBC,MSNBC,US Progressive News Network
🗞️ News,@CBSNews,CBS News,US Mainstream News
🗞️ News,@WSJ,Wall Street Journal,US Business News
🗳️ Politics,@GOP,GOP,Republican Party Official Account
🗳️ Politics,@TheDemocrats,The Democrats,Democratic Party Official Account
🗳️ Politics,@tedcruz,Ted Cruz,US Republican Senator
🗳️ Politics,@marcorubio,Marco Rubio,US Republican Senator
🗳️ Politics,@Jim_Jordan,Jim Jordan,US Republican Congressman
🗳️ Politics,@BarackObama,Barack Obama,Former US Democratic President
🗳️ Politics,@KamalaHarris,Kamala Harris,US Democratic Vice President
🗳️ Politics,@GavinNewsom,Gavin Newsom,US Democratic Governor
🗳️ Politics,@RonDeSantis,Ron DeSantis,US Republican Governor
🗳️ Politics,@SenSchumer,Chuck Schumer,US Democratic Senator
👗 Fashion,@RalphLauren,Ralph Lauren,Classic American Fashion
👗 Fashion,@MarcJacobs,Marc Jacobs,American Fashion Designer
👗 Fashion,@MichaelKors,Michael Kors,American Luxury Brand
👗 Fashion,@VeraWang,Vera Wang,American Fashion Designer
🏃‍♂️ Athletics,@TomBrady,Tom Brady,NFL Legend
🏃‍♂️ Athletics,@StephenCurry30,Stephen Curry,NBA Superstar
🏃‍♂️ Athletics,@PatrickMahomes,Patrick Mahomes,NFL Quarterback
😂 Comedians,@KevinHart4real,Kevin Hart,US Comedian and Actor
😂 Comedians,@amyschumer,Amy Schumer,US Comedian and Actress
🎮 Gaming & Esports,@CouRageJD,CouRage,US Gaming Content Creator
🎮 Gaming & Esports,@LIRIK,LIRIK,US Twitch Streamer
🍳 Food & Cooking,@bflay,Bobby Flay,US Chef and TV Personality
👻 True Crime & Unexplained Mysteries,@DatelineNBC,Dateline NBC,US True Crime TV
👻 True Crime & Unexplained Mysteries,@TrueCrimeGarage,True Crime Garage,US True Crime Podcast
"🛠️ DIY, Makers & Crafting",@TheHomeDepot,The Home Depot,US Home Improvement
"🛠️ DIY, Makers & Crafting",@Lowes,Lowe's,US Home Improvement
"🌱 Gardening, Agriculture & Homesteading",@BurpeeCo,Burpee Gardening,US Seed Company
"🌱 Gardening, Agriculture & Homesteading",@MiracleGro,Miracle-Gro,US Garden Products
"🌱 Gardening, Agriculture & Homesteading",@BHG,Better Homes & Gardens,US Lifestyle Magazine
